Tested_Number,Função_Simples,Função_Complexa
358000,0.2244,0.0059
359000,0.2044,0.006
360000,0.2049,0.006
361000,0.209,0.0064
362000,0.2102,0.006
363000,0.2143,0.006
364000,0.2078,0.0061
365000,0.2126,0.0061
366000,0.2109,0.0061
367000,0.2129,0.006
368000,0.2176,0.0061
369000,0.2244,0.0065
370000,0.2343,0.0102
371000,0.218,0.0061
372000,0.2229,0.0061
373000,0.2157,0.0061
374000,0.2174,0.0061
375000,0.2184,0.0061
376000,0.2192,0.0062
377000,0.2246,0.0061
378000,0.2186,0.0062
379000,0.2195,0.0061
380000,0.2268,0.0079
381000,0.2295,0.0065
382000,0.2234,0.0069
383000,0.2241,0.0066
384000,0.2293,0.0066
385000,0.2343,0.0065
386000,0.2256,0.0064
387000,0.2268,0.0064
388000,0.2276,0.0065
389000,0.2314,0.0064
390000,0.2426,0.0065
391000,0.2486,0.0065
392000,0.2334,0.0065
393000,0.2365,0.0067
394000,0.2395,0.0066
395000,0.2355,0.0068
396000,0.2441,0.0066
397000,0.238,0.0067
398000,0.2423,0.0067
399000,0.2384,0.0067
400000,0.2457,0.0067
401000,0.2405,0.0069
402000,0.2534,0.007
403000,0.2394,0.007
404000,0.2412,0.0072
405000,0.2436,0.0071
406000,0.2491,0.0072
407000,0.2434,0.007
408000,0.2459,0.0071
409000,0.2458,0.007
410000,0.2583,0.0074
411000,0.2472,0.007
412000,0.249,0.0072
413000,0.2495,0.0071
414000,0.2549,0.0071
415000,0.2497,0.007
416000,0.2592,0.0071
417000,0.2538,0.0075
418000,0.2596,0.0074
419000,0.2534,0.0075
420000,0.2615,0.0074
421000,0.2564,0.0073
422000,0.2629,0.0072
423000,0.2697,0.0073
424000,0.2594,0.0072
425000,0.2647,0.0072
426000,0.2592,0.0071
427000,0.2612,0.0072
428000,0.2628,0.0073
429000,0.2684,0.0073
430000,0.2727,0.0075
431000,0.2829,0.0074
432000,0.2663,0.0075
433000,0.2738,0.0076
434000,0.2663,0.0078
435000,0.2689,0.0077
436000,0.2739,0.0078
437000,0.2683,0.0077
438000,0.2701,0.0077
439000,0.2718,0.0077
440000,0.2862,0.0079
441000,0.2781,0.0079
442000,0.2757,0.0079
443000,0.2732,0.0124
444000,0.2831,0.0085
445000,0.2793,0.008
446000,0.2775,0.0081
447000,0.2877,0.0099
448000,0.2817,0.0082
449000,0.2855,0.0083
450000,0.2944,0.0083
451000,0.2867,0.0082
452000,0.2885,0.0082
453000,0.2845,0.0083
454000,0.2913,0.0083
455000,0.2846,0.0082
456000,0.2866,0.0083
457000,0.2921,0.0083
458000,0.2884,0.0085
459000,0.2901,0.0082
460000,0.2949,0.0083
461000,0.2973,0.0083
462000,0.2941,0.0086
463000,0.2946,0.0083
464000,0.309,0.0084
465000,0.2946,0.0082
466000,0.296,0.0084
467000,0.3251,0.0084
468000,0.2979,0.0084
469000,0.2985,0.0083
470000,0.3057,0.0112
471000,0.3003,0.0086
472000,0.3036,0.0084
473000,0.3,0.0085
474000,0.3072,0.0088
475000,0.3058,0.0087
476000,0.3041,0.0087
477000,0.3232,0.009
478000,0.3093,0.0094
479000,0.3186,0.0089
480000,0.3178,0.0088
481000,0.3105,0.0098
482000,0.31,0.0089
483000,0.3159,0.0091
484000,0.3114,0.0089
485000,0.3124,0.0088
486000,0.3176,0.0088
487000,0.315,0.0094
488000,0.3147,0.0088
489000,0.3208,0.0088
490000,0.323,0.0087
491000,0.3193,0.0091
492000,0.3185,0.009
493000,0.3262,0.0089
494000,0.3215,0.0091
495000,0.3211,0.0091
496000,0.329,0.009
497000,0.3237,0.0091
498000,0.3234,0.0092
499000,0.349,0.0092
500000,0.3422,0.0095
501000,0.3282,0.0138
502000,0.3324,0.0092
503000,0.3275,0.0093
504000,0.3284,0.0146
505000,0.3306,0.0095
506000,0.3322,0.0097
507000,0.3366,0.0098
508000,0.3323,0.0107
509000,0.3326,0.0098
510000,0.346,0.0097
511000,0.3385,0.0098
512000,0.3362,0.0099
513000,0.3434,0.0098
514000,0.3407,0.0097
515000,0.3393,0.0098
516000,0.3485,0.0096
517000,0.3444,0.0096
518000,0.3415,0.0096
519000,0.3613,0.0099
520000,0.3505,0.0099
521000,0.3457,0.01
522000,0.3542,0.0101
523000,0.3471,0.0099
524000,0.3493,0.01
525000,0.3584,0.0099
526000,0.3494,0.0101
527000,0.3564,0.0104
528000,0.3784,0.0104
529000,0.3507,0.0104
530000,0.3637,0.0108
531000,0.3585,0.0102
532000,0.3541,0.0103
533000,0.3626,0.0103
534000,0.359,0.0103
535000,0.3565,0.0102
536000,0.3659,0.0106
537000,0.3585,0.0104
538000,0.3687,0.0104
539000,0.363,0.0102
540000,0.3746,0.0106
541000,0.3724,0.0102
542000,0.366,0.0103
543000,0.3663,0.0106
544000,0.376,0.0107
545000,0.3673,0.0108
546000,0.3765,0.0109
547000,0.3948,0.0116
548000,0.4054,0.0119
549000,0.3897,0.011
550000,0.3801,0.0149
551000,0.3839,0.0113
552000,0.3755,0.0109
553000,0.3751,0.0122
554000,0.3879,0.0109
555000,0.3771,0.011
556000,0.3963,0.0165
557000,0.3796,0.011
558000,0.3794,0.0109
559000,0.3909,0.0111
560000,0.388,0.0109
561000,0.3857,0.0109
562000,0.3916,0.0109
563000,0.3844,0.0109
564000,0.4013,0.011
565000,0.3867,0.0111
566000,0.3984,0.0112
567000,0.3956,0.0112
568000,0.403,0.0115
569000,0.3982,0.0112
570000,0.3962,0.0112
571000,0.3949,0.0116
572000,0.4002,0.0113
573000,0.3931,0.0113
574000,0.4069,0.0116
575000,0.4021,0.0117
576000,0.4049,0.0178
577000,0.411,0.0116
578000,0.4052,0.0114
579000,0.4117,0.0114
580000,0.4087,0.0115
581000,0.4299,0.0116
582000,0.4033,0.0116
583000,0.4076,0.0115
584000,0.4111,0.0117
585000,0.4067,0.0118
586000,0.4144,0.0117
587000,0.4068,0.0117
588000,0.4128,0.0176
589000,0.4116,0.0118
590000,0.42,0.0119
591000,0.4202,0.0119
592000,0.4144,0.0121
593000,0.4226,0.0119
594000,0.4168,0.0122
595000,0.4193,0.0121
596000,0.4235,0.0119
597000,0.4205,0.0119
598000,0.4297,0.0122
599000,0.4282,0.012
600000,0.4534,0.0119
601000,0.4254,0.0121
602000,0.4308,0.012
603000,0.4223,0.012
604000,0.4249,0.013
605000,0.4653,0.0128
606000,0.4381,0.0122
607000,0.4365,0.0121
608000,0.4302,0.0122
609000,0.4423,0.0123
610000,0.4383,0.0126
611000,0.4411,0.0126
612000,0.4327,0.0127
613000,0.4358,0.0128
614000,0.4405,0.013
615000,0.4455,0.0127
616000,0.4443,0.0127
617000,0.44,0.0129
618000,0.4488,0.0137
619000,0.442,0.0132
620000,0.4571,0.0131
621000,0.4502,0.0133
622000,0.4447,0.0131
623000,0.4501,0.013
624000,0.4643,0.0131
625000,0.4504,0.0129
626000,0.4618,0.0131
627000,0.454,0.013
628000,0.467,0.014
629000,0.4572,0.013
630000,0.4693,0.0132
